pre_date,pre_ch,current_date,project_id,interval
2021-07-20 17:00:00,2042.1941,2022-08-18 20:30:50,0,1H
2021-07-20 18:00:00,2003.621,2022-08-18 20:30:50,0,1H
2021-07-22 07:00:00,2087.9797,2022-08-18 20:30:50,0,1H
2021-07-22 08:00:00,1891.1392,2022-08-18 20:30:50,0,1H
2021-07-22 09:00:00,2115.097,2022-08-18 20:30:50,0,1H
2021-07-22 10:00:00,1954.5038,2022-08-18 20:30:50,0,1H
2021-07-22 11:00:00,1907.0605,2022-08-18 20:30:50,0,1H
2021-07-22 13:00:00,2147.7224,2022-08-18 20:30:50,0,1H
2021-07-22 15:00:00,2181.9993,2022-08-18 20:30:50,0,1H
2021-07-22 17:00:00,1848.8384,2022-08-18 20:30:50,0,1H
2021-07-22 18:00:00,1881.5867,2022-08-18 20:30:50,0,1H
2021-08-25 07:00:00,1098.0013,2022-08-18 20:30:50,0,1H
2021-08-25 09:00:00,1468.9213,2022-08-18 20:30:50,0,1H
2021-08-25 10:00:00,1924.5377,2022-08-18 20:30:50,0,1H
2021-08-25 13:00:00,1656.6108,2022-08-18 20:30:50,0,1H
2021-08-25 14:00:00,1021.24365,2022-08-18 20:30:50,0,1H
2021-08-25 15:00:00,1196.6807,2022-08-18 20:30:50,0,1H
2021-08-25 17:00:00,700.71545,2022-08-18 20:30:50,0,1H
2021-08-25 18:00:00,657.98224,2022-08-18 20:30:50,0,1H
2022-06-06 08:00:00,543.13934,2022-08-18 20:30:50,0,1H
2022-06-06 09:00:00,299.9212,2022-08-18 20:30:50,0,1H
2022-06-06 10:00:00,497.99557,2022-08-18 20:30:50,0,1H
2022-06-06 11:00:00,343.17838,2022-08-18 20:30:50,0,1H
2022-06-06 14:00:00,492.3856,2022-08-18 20:30:50,0,1H
2022-06-06 15:00:00,331.4414,2022-08-18 20:30:50,0,1H
2022-06-06 16:00:00,319.3173,2022-08-18 20:30:50,0,1H
2022-06-06 17:00:00,325.36932,2022-08-18 20:30:50,0,1H
2022-06-07 07:00:00,306.91385,2022-08-18 20:30:50,0,1H
2022-06-07 08:00:00,539.64465,2022-08-18 20:30:50,0,1H
